TradeDate;OpenPrice;HighPrice;LowPrice;ClosePrice;PercentNetChange;NetChange;PercentPriceChange;PriceChange
2017/07/14;2340;2357,84;2251,04;2280,2;-2,56;-59,79;-2,56;-59,8
2017/07/13;2383,97;2425,16;2312,93;2339,99;-2,01;-48,01;-1,84;-43,98
2017/07/12;2301,55;2408,84;2239,54;2388;3,56;82,02;3,76;86,45
2017/07/11;2323,45;2399;2242,62;2305,98;-0,75;-17,44;-0,75;-17,47
2017/07/10;2504;2527,88;2261,85;2323,42;-7,15;-178,86;-7,21;-180,58
2017/07/09;2550,13;2564,65;2500,5;2502,28;-1,87;-47,79;-1,88;-47,85
2017/07/08;2501,46;2555;2462;2550,07;1,94;48,61;1,94;48,61
2017/07/07;2599,01;2605;2475;2501,46;-3,8;-98,93;-3,75;-97,55
2017/07/06;2602,9;2614;2522;2600,39;-0,1;-2,51;-0,1;-2,51
2017/07/05;2594,52;2623;2530,1;2602,9;0,26;6,78;0,32;8,38
2017/07/04;2540,07;2639,47;2540,07;2596,12;1,79;45,65;2,21;56,05
2017/07/03;2504,81;2595;2472,68;2550,47;1,84;46,1;1,82;45,66
2017/07/02;2421,3;2528,72;2374,34;2504,37;3,81;91,96;3,43;83,07
2017/07/01;2465,48;2517,11;2390;2412,41;-2,15;-53,08;-2,15;-53,07
2017/06/30;2538,41;2564,58;2451;2465,49;-2,99;-76,1;-2,87;-72,92
2017/06/29;2550,99;2594,78;2500,31;2541,59;-0,72;-18,31;-0,37;-9,4
2017/06/28;2565;2593;2468,01;2559,9;-0,08;-1,96;-0,2;-5,1
2017/06/27;2421,21;2564,97;2291;2561,86;5,81;140,64;5,81;140,65
2017/06/26;2502,26;2550,03;2315,01;2421,22;-3,23;-80,81;-3,24;-81,04
2017/06/25;2557,66;2635,72;2432;2502,03;-2,18;-55,63;-2,18;-55,63
2017/06/24;2685,05;2724,96;2512,13;2557,66;-4,74;-127,39;-4,74;-127,39
2017/06/23;2713,48;2745;2657,46;2685,05;-1,05;-28,43;-1,05;-28,43
2017/06/22;2658,67;2740;2594,61;2713,48;2,12;56,44;2,06;54,81
2017/06/21;2734,03;2789;2611;2657,04;-3,03;-82,96;-2,82;-76,99
2017/06/20;2598;2783;2581;2740;5,47;142;5,47;142
2017/06/19;2516,98;2598;2480,96;2598;3,22;81,02;3,22;81,02
2017/06/18;2630,06;2665;2460,62;2516,98;-4,3;-113,02;-4,3;-113,08
2017/06/17;2484,68;2674,4;2420,53;2630;5,85;145,32;5,85;145,32
2017/06/16;2424,96;2540;2307,66;2484,68;2,46;59,77;2,46;59,72
2017/06/15;2451,42;2516,2;2120;2424,91;-1,02;-25,09;-1,08;-26,51
2017/06/14;2705,99;2801;2320;2450;-9,36;-253,02;-9,46;-255,99
2017/06/13;2656,97;2783,62;2638,62;2703,02;1,35;35,96;1,73;46,05
2017/06/12;2954,23;2980;2480,03;2667,06;-9,72;-287,16;-9,72;-287,17
2017/06/11;2899,01;2967,46;2861,53;2954,22;1,87;54,23;1,9;55,21
2017/06/10;2818;2912,98;2800;2899,99;2,75;77,67;2,91;81,99
2017/06/09;2805,46;2868,23;2780,43;2822,32;0,58;16,32;0,6;16,86
2017/06/08;2680,24;2815;2613,13;2806;4,58;122,97;4,69;125,76
2017/06/07;2875,71;2893,28;2612,5;2683,03;-6,86;-197,71;-6,7;-192,68
2017/06/06;2698;2933;2689,4;2880,74;6,77;182,74;6,77;182,74
2017/06/05;2530,27;2699,35;2525,28;2698;6,63;167,73;6,63;167,73
2017/06/04;2538,1;2569;2460;2530,27;-0,42;-10,67;-0,31;-7,83
2017/06/03;2488,94;2584,34;2445;2540,94;2,09;52;2,09;52
2017/06/02;2413,58;2489;2370,03;2488,94;3,12;75,31;3,12;75,36
2017/06/01;2298,01;2456,39;2296,81;2413,63;5,03;115,62;5,03;115,62
2017/05/31;2201,7;2334;2154,28;2298,01;4,29;94,5;4,37;96,31
2017/05/30;2290,18;2339,08;2160;2203,51;-3,87;-88,59;-3,78;-86,67
2017/05/29;2172,54;2350;2110;2292,1;5,2;113,29;5,5;119,56
2017/05/28;2042,89;2313,96;2041,48;2178,81;6,7;136,81;6,65;135,92
